response	cog	fusarium_response_hits	fusarium_response_total	fusarium_background_hits	fusarium_background_total	ophiostoma_response_hits	ophiostoma_response_total	ophiostoma_background_hits	ophiostoma_background_total	fusarium_response_percent	ophiostoma_response_percent	fusarium_within_species_or	fusarium_within_species_pvalue	ophiostoma_within_species_or	ophiostoma_within_species_pvalue	interaction_log_odds	interaction_se	interaction_odds_ratio	interaction_ci_lower	interaction_ci_upper	interaction_pvalue	direct_foreground_or	direct_foreground_pvalue	interaction_padj	direct_foreground_padj	cog_name	interaction_direction	log2_interaction_or
Induced	F	16	1213	117	6920	41	2220	97	7011	1.3190436933223413	1.8468468468468469	0.7419519026011216	0.8933101397052402	1.5908570309516348	0.017318048529251003	0.7628488150777791	0.34107509525027085	2.1443764591344654	1.0989351092251973	4.184369358926141	0.025312445628457334	1.4075370084139918	0.26691014414659486	0.04987321455926464	0.32622350951250484	Nucleotide transport and metabolism	Stronger in Ophiostoma	1.1005582024607339
Induced	I	70	1213	325	6920	130	2220	277	7011	5.7708161582852435	5.8558558558558556	1.3093295611023175	0.03289437027539937	1.9649032782106863	4.465755841997127e-8	0.40595603562164956	0.1856189715247444	1.5007365720571786	1.043043468363114	2.159267880028439	0.02873963547126775	1.0156486152918862	0.9394110667111301	0.04987321455926464	0.9394110667111301	Lipid transport and metabolism	Stronger in Ophiostoma	0.5856707594102972
Induced	O	120	1213	645	6920	199	2220	498	7011	9.892827699917559	8.963963963963964	1.0836758750874773	0.24038430879135547	1.479231397800089	3.0392414191711497e-5	0.31120849665170464	0.14294408590048677	1.3650738048353994	1.0315247921503805	1.8064776598952894	0.029470535875929106	0.8968938832758379	0.3893438533962371	0.04987321455926464	0.42827823873586085	Post-translational modification and protein turnover	Stronger in Ophiostoma	0.44897895480192396
Induced	H	29	1213	205	6920	81	2220	221	7011	2.390766694146744	3.6486486486486487	0.7697567881379322	0.9202139105347136	1.2579522446145508	0.06232033847453722	0.49126862270526434	0.24771153521699799	1.6343883274575934	1.005770599813683	2.655899074226736	0.047341890940240085	1.5458821669876124	0.053575801768199184	0.0743944000489487	0.09066674145387554	Coenzyme transport and metabolism	No supported difference	0.7087508057212362
Induced	E	80	1213	515	6920	166	2220	476	7011	6.595218466611707	7.4774774774774775	0.8557683440767715	0.9042527427640128	1.1681688188078125	0.06658204905923387	0.31125119643501653	0.16072045378514016	1.3651320944355383	0.996246170316613	1.8706075775083792	0.05279428413236447	1.1445682441268268	0.36832141788951067	0.07743161672746789	0.42647743124048604	Amino-acid transport and metabolism	No supported difference	0.4490405575675549
Induced	G	130	1213	570	6920	156	2220	460	7011	10.717230008244023	7.027027027027027	1.436812651933901	0.00047295550520629547	1.115548048723852	0.15374743489359521	-0.25311891081014076	0.14657875783517157	0.7763755568881872	0.5825074661689048	1.0347661452268249	0.08419536245169187	0.6297160384288872	2.2619522227811985e-4	0.11576862337107632	7.108992700169481e-4	Carbohydrate transport and metabolism	No supported difference	-0.36517339738100585
Induced	D	14	1213	158	6920	44	2220	167	7011	1.1541632316570487	1.981981981981982	0.4511288886530345	0.9994090045939293	0.767394922992579	0.9447586983873006	0.5313538206395674	0.33298333617802706	1.7012339158733512	0.8857739306019533	3.2674215581744903	0.11054753038178858	1.7314960887024868	0.07332138006801922	0.14306150990584404	0.11521931153545878	Cell-cycle control and chromosome partitioning	No supported difference	0.7665815219941076
Induced	L	38	1213	268	6920	53	2220	244	7011	3.1327287716405605	2.3873873873873874	0.7701530900325673	0.9428579314009804	0.589075675113203	0.9998276229543754	-0.2680651425619016	0.23765438965486374	0.7648579546733127	0.4800486882906432	1.2186424108565697	0.2593359288672156	0.7563460473093128	0.22122329973041882	0.31696613528215245	0.2862889761217185	Replication, recombination and repair	No supported difference	-0.3867362518092485
Induced	Q	95	1213	503	6920	99	2220	328	7011	7.831821929101402	4.45945945945946	1.1036136715399585	0.21905228407843172	0.9298583010581609	0.7413922853996961	-0.17131517111367467	0.170935511742412	0.8425559823132089	0.6026921314197503	1.1778826142287226	0.31623683473940534	0.549384195042809	7.255430874697361e-5	0.36616896654036407	2.660324654055699e-4	Secondary-metabolite biosynthesis and transport	No supported difference	-0.24715554779474264
Induced	M	32	1213	134	6920	32	2220	72	7011	2.6380873866446826	1.4414414414414414	1.488835429827749	0.036706639768163275	1.73698774282836	0.015014379636535898	0.15416307750348382	0.31463713500752577	1.1666811307119231	0.6296912197612906	2.1616068607011023	0.6241544069935023	0.5398452207011312	0.016966511449229685	0.6865698476928526	0.03393302289845937	Cell wall, membrane and envelope biogenesis	No supported difference	0.22241030740245696
Induced	V	14	1213	65	6920	15	2220	36	7011	1.1541632316570487	0.6756756756756757	1.2948821627228204	0.23929582743003092	1.5451005871694437	0.1334578934241239	0.17668580993891606	0.454968158162653	1.19325612500979	0.4891667820552814	2.9107867339047298	0.6977587875286098	0.5826745291563584	0.17165355293471732	0.6977587875286098	0.23602363528523632	Defense mechanisms	No supported difference	0.2549037417943241
Induced	T	81	1213	385	6920	116	2220	329	7011	6.677658697444353	5.225225225225225	1.271697107657634	0.03849703092785191	1.1849248369311856	0.08546105550564198	-0.07066987629661357	0.17525084240449404	0.9317694405387017	0.660894190117287	1.3136660955783697	0.6867644290671298	0.7705821774528109	0.0910157211903979	0.6977587875286098	0.13348972441258358	Signal-transduction mechanisms	No supported difference	-0.10195508007336095
Repressed	J	145	1219	366	6920	78	1859	398	7011	11.894995898277276	4.195804195804196	3.3469549266686407	1.199459011137578e-24	0.6613344906035179	0.9996249360525785	-1.6218128585580731	0.17102327473858983	0.1975402617296275	0.1412790202380096	0.27620629686184106	2.4708733223757357e-21	0.3245128368875818	2.426192915763392e-15	5.435921309226619e-20	5.337624414679462e-14	Translation and ribosome biogenesis	Stronger in Fusarium	-2.339781368291686
Repressed	S	397	1219	2776	6920	589	1859	1973	7011	32.56767842493847	31.683700914470144	0.6744495573171144	0.9999999991010913	1.2625786460183093	4.719075996771886e-5	0.6271378382144379	0.08905015302132283	1.8722442373489936	1.5723943766785111	2.2292743705246676	1.887883285467281e-12	0.9602528264378525	0.60791813836029	2.076671614014009e-11	0.6368666211393514	Function unknown	Stronger in Ophiostoma	0.9047686491457946
Repressed	C	104	1219	382	6920	58	1859	284	7011	8.531583264971289	3.1199569661108124	1.8192726674491115	1.0275151292087877e-6	0.7020019380961137	0.9937935960127169	-0.9524713036238964	0.19161978497729537	0.385786448969247	0.2649945333227644	0.5616386962482145	6.673524490453985e-7	0.34539062282807825	9.702987645831991e-11	4.893917959666255e-6	1.067328641041519e-9	Energy production and conversion	Stronger in Fusarium	-1.3741256263272414
