gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN4486_c0_g1	23474.3867648406	-0.0431467486838027	0.0407596035104274	0.2875828139283	0.482816199761856
TRINITY_DN4487_c0_g1	4151.71097233478	0.0546466495430913	0.0498198915762277	0.253424474162161	0.442511526185237
TRINITY_DN4488_c0_g1	6802.97540946262	-0.0991289219280177	0.0520485478903972	0.0455801495481137	0.123120381924511
TRINITY_DN4489_c0_g1	5181.58725924729	0.139043616730874	0.0538676877688063	0.00681720032907187	0.0260573269008328
TRINITY_DN449_c0_g1	4951.83868698836	-0.0172841373325365	0.0543554793645693	0.739709689280232	0.861340690070108
TRINITY_DN4490_c0_g1	12324.1260767589	0.239670678137702	0.0415374497909597	3.26372953713295e-09	4.71438281298968e-08
TRINITY_DN4491_c0_g1	1321.79986764008	-0.209083604804443	0.0689481401259134	0.00108544162953846	0.00542886869072576
TRINITY_DN4492_c0_g1	5124.17663393345	0.065441095111999	0.0470920830132358	0.150641471416588	0.306724424258645
TRINITY_DN4493_c0_g1	2212.61716484945	-0.0422600085408944	0.0658482285393015	0.491129384344866	0.677821222667352
TRINITY_DN4494_c0_g1	3860.0317723572	-0.218657770898264	0.0528449984992722	1.57786674243944e-05	0.000123312486134232
TRINITY_DN4495_c0_g1	3657.34021774401	0.0949365860196412	0.0587867414935471	0.0876924106229707	0.204733911780551
TRINITY_DN4496_c0_g1	3418.88780236043	0.072195791025889	0.0522028619064284	0.149227116141599	0.30456094859339
TRINITY_DN4497_c0_g1	673.487604933865	-0.19270396647559	0.0997027537150647	0.0242314422074353	0.0736479656555703
TRINITY_DN4498_c0_g1	7.94172687152885	-0.111226304620492	0.233988726044621	0.0107185150041764	NA
TRINITY_DN4499_c0_g1	194.845887599492	0.0864521559209966	0.13304832540666	0.37082012428798	0.569260256537253
TRINITY_DN45_c0_g1	7971.48481207548	0.134629853382208	0.0471800238172893	0.00308478132904091	0.0133225606672097
TRINITY_DN450_c0_g1	25260.4521896145	-0.375986831663743	0.0437341621712201	1.9940489100465e-18	7.49334548265752e-17
TRINITY_DN4500_c0_g1	1249.2478967789	-0.135893040282699	0.0744932192929102	0.0460542591923167	0.124195813626132
TRINITY_DN4501_c0_g1	10591.2604706449	0.115412004044295	0.0404658322036419	0.00335202652168749	0.0143253490739481
TRINITY_DN4502_c0_g1	1217.77824649319	0.0103418396367025	0.0750876659901439	0.881241065080995	0.942450372512747
TRINITY_DN4504_c0_g1	1192.50004066345	0.027604534791736	0.0768275290010184	0.693421585905884	0.831463989042411
