gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_5934	NA	0.284729477241089	0.1835577298527503	0.18132573903485	-0.21442253464525185	0.0110446003685858	0.3979399770384724	FALSE	FALSE	TRUE	1	9.020461558118416	9.296869456260374	9.148359608364691	0.276407898141958	0.3979399770384724	0.0110446003685858	1.9568499937679107	3.0291378459868135
gene_5935	Plate-wide response	0.721510673390705	0.0627361861275134	7.57511279471158e-5	0.6047580895577006	4.6461067989996e-4	-0.534943102855859	FALSE	TRUE	TRUE	2	10.33301104615492	9.888577991444663	10.396778061528842	0.5082000700841789	0.6047580895577006	7.57511279471158e-5	4.120610896059173	5.838327145258753
gene_5936	NA	0.0751047656315609	0.2027648903117762	0.46459335724608	0.08923214582606366	0.340162512303613	0.11362310289026252	FALSE	FALSE	FALSE	0	9.909037718361969	9.997806735155123	10.06673251055801	0.15769479219604143	0.2027648903117762	0.0751047656315609	1.1243325047824597	1.6875570776020536
gene_5937	NA	0.448778005147861	0.131916935239167	0.118512572340604	0.2500866521214607	0.501799260343609	-0.11711384632767416	FALSE	FALSE	FALSE	0	9.2255341489473075	9.139180354867644	9.317174440597608	0.17799408572996356	0.2500866521214607	0.118512572340604	0.9262355753203504	1.6044029652932355
gene_5938	Reaction-zone specific	9.60207913962179e-28	1.1604593239131382	6.837678573449e-23	1.0296637465398686	0.307500968580295	0.12376516299460535	TRUE	TRUE	FALSE	2	10.622589226656903	10.731751722909124	11.664657326946946	1.0420681002900434	1.1604593239131382	9.60207913962179e-28	27.017634718929298	30.380621467045614
gene_5939	Reaction-zone specific	0.0434681064649649	0.369406481381174	0.00183767187054599	0.5504953425936477	0.368747424893777	-0.17222289592640383	TRUE	TRUE	FALSE	2	9.24056291974159	9.116863673353762	9.507174175195193	0.3903105018414301	0.5504953425936477	0.00183767187054599	2.735732032412963	4.227033219441688
gene_5940	Multi-region differential response	0.00232025626743166	-0.21090024692599577	0.00318785719200347	0.2029510511636292	2.72940128867589e-10	-0.41362947054598664	TRUE	TRUE	TRUE	3	11.503733117215113	11.124360178836934	11.310162842505061	0.37937293837817876	0.41362947054598664	2.72940128867589e-10	9.563932607735952	10.770564487206103
gene_5941	Non-contact specific	0.0166250813254421	0.2334592508694512	0.882426132771639	0.01727052081117406	0.0281886667848951	0.21386095535463584	TRUE	FALSE	TRUE	2	10.684587325024951	10.872186943014038	10.888261256497168	0.2036739314722169	0.2334592508694512	0.0166250813254421	1.7792362215674529	2.4498286547785724
gene_5942	NA	0.0583941061440894	0.1887293399975434	0.0781463464912393	0.1755293306728844	0.925243460839935	0.01168698225122541	FALSE	FALSE	FALSE	0	11.923207946100193	11.937970279860176	12.109792607846812	0.18658466174661825	0.1887293399975434	0.0583941061440894	1.2336309850497837	1.7976743267914888
gene_5943	Plate-wide response	0.333982354199267	-0.14364226098136593	2.8230550805502897e-11	0.9003360387890165	4.45093372769588e-15	-1.0514550699506298	FALSE	TRUE	TRUE	2	9.833922113756827	9.090691451252223	9.720953839531147	0.7432306625046046	1.0514550699506298	4.45093372769588e-15	14.351548872109356	17.19768967451522
gene_5944	Non-contact specific	3.3068841015473696e-26	-0.8440550382764966	0.093877766967246	0.14305979081820994	1.11842242113363e-36	-0.991903759767762	TRUE	FALSE	TRUE	2	12.521441466186191	11.580987663759725	11.718608703218926	0.9404538024264664	0.991903759767762	1.11842242113363e-36	35.9513941351633	38.87565545712529
gene_5945	Multi-region differential response	8.48230453235686e-73	-1.2487491285709584	2.07174648777589e-29	0.7923248861681189	2.72691505746778e-193	-2.0439246085115648	TRUE	TRUE	TRUE	3	16.055651578613602	14.023653006155879	14.809731316243754	2.0319985724577236	2.0439246085115648	2.72691505746778e-193	192.56432838998194	198.68417617946278
