gene_id	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	sign_reaction_vs_noncontact	sign_reaction_vs_control	sign_control_vs_noncontact	n_significant	is_reaction_specific	is_noncontact_specific	is_plate_wide	is_complex	response_group	mean_noncontact	mean_control	mean_reaction	expression_range	minimum_relevant_padj	significance_score	maximum_abs_lfc	selection_score	selected_rank_within_group
gene_5097	3.92300876418695e-108	2.5430587859282383	1.6591482584007802e-110	2.4611912568134904	0.573148507822945	0.07931514398911695	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.533858791437591	9.590002301666582	11.648259702740669	2.1144009113030773	1.6591482584007802e-110	109.78011480449494	2.5430587859282383	116.9806332876545	18
gene_3415	6.24935066389149e-82	1.8050481796040851	2.90352846080595e-104	1.9561718079565964	0.175678121140077	-0.1447402422045393	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.891181510167456	9.777588141499573	11.420167042457594	1.6425789009580214	2.90352846080595e-104	103.53707391259246	1.9561718079565964	109.09199642946368	19
gene_2636	2.499488419991959e-98	-3.244839043290544	9.00090935161721e-85	-2.983614268382435	0.061145184173875	-0.2457657786747927	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	10.326792731838514	10.12500747600975	8.294097829149578	2.0326949026889363	2.499488419991959e-98	97.6021488709719	3.244839043290544	106.12452186024193	20
gene_1870	9.13953329374193e-82	-2.9893940012186957	8.98632328338368e-80	-2.9404868647632387	0.878462789070772	-0.02933729369099873	TRUE	TRUE	FALSE	-1	-1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	15.825927409227143	15.803160736358816	12.89911937263702	2.9268080365901223	9.13953329374193e-82	81.03907598075715	2.9893940012186957	89.94467201978466	21
gene_3386	7.594361601014728e-83	2.164001981162294	1.39557121529493e-65	1.9132313038784776	0.0506747677926871	0.23940695602777268	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	12.432413082907027	12.67635340332212	14.56972821256465	2.1373151296576225	7.594361601014728e-83	82.11950872803023	2.164001981162294	88.58482782001244	22
gene_5011	1.13722752948769e-68	-2.5504365704698464	9.39464878559161e-82	-2.716672354703066	0.169277186996588	0.158689367194951	TRUE	TRUE	FALSE	-1	-1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.586478093607392	9.704308396713124	8.182389397499907	1.5219189992132165	9.39464878559161e-82	81.02711945114947	2.716672354703066	87.98238315976882	23
gene_892	8.88252157417173e-81	1.6366488983672638	1.09136365251387e-78	1.5514847010210489	0.422159810801309	0.08263416606050279	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	10.2626377101574	10.333177925500491	11.702342571722593	1.4397048615651933	8.88252157417173e-81	80.05146372900809	1.6366488983672638	84.7644663873078	24
gene_7465	2.9831876509273e-65	1.155712925014398	2.89258664853441e-81	1.2613077090684472	0.179181419009254	-0.1035741254712728	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.362280724984121	11.26630968942488	12.445271715389548	1.178962025964669	2.89258664853441e-81	80.5387136227248	1.2613077090684472	84.24029106682636	25
gene_7798	1.1051601112642899e-75	1.4319865002626675	4.39478276834248e-72	1.3655941268336689	0.485136145929989	0.06591727685087138	TRUE	TRUE	FALSE	1	1	1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	11.111564376992407	11.169398971790487	12.443075069340082	1.3315106923476758	1.1051601112642899e-75	74.95657479853877	1.4319865002626675	79.15205849141178	26
gene_2016	4.09879274612649e-57	3.1338132846275686	2.43674997584904e-63	3.275148372558601	0.576773930945072	-0.1207463971285776	TRUE	TRUE	FALSE	1	1	-1	2	TRUE	FALSE	FALSE	FALSE	Reaction-zone specific	9.759089255376706	9.6670255057296	12.531381909903189	2.8643564041735896	2.43674997584904e-63	62.61318902956767	3.275148372558601	72.02784217885846	27
