gene_id	protein_id
gene_1422	1979982
gene_1425	1979985
gene_1426	1979986
gene_1427	1979987
gene_1429	1979989
gene_1430	1979990
gene_1431	1979991
gene_1432	1979992
gene_1433	1979993
gene_1434	1979994
gene_1438	1979998
gene_1441	1980001
gene_1442	1980002
gene_1443	1980003
gene_1446	1980006
gene_1447	1980007
gene_1452	1980012
gene_1453	1980013
gene_1454	1980014
gene_1455	1980015
gene_1456	1980016
gene_1457	1980017
gene_1459	1980019
gene_1460	1980020
gene_1461	1980021
gene_1463	1980023
gene_1465	1980025
gene_1467	1980027
gene_1468	1980028
gene_1469	1980029
gene_1470	1980030
gene_1471	1980031
gene_1478	1980038
gene_1482	1980042
gene_1483	1980043
gene_1484	1980044
gene_1486	1980046
gene_1487	1980047
gene_1489	1980049
gene_1494	1980054
gene_1495	1980055
gene_1496	1980056
gene_1499	1980059
gene_1504	1980064
gene_1505	1980065
gene_1506	1980066
gene_1507	1980067
gene_1513	1980073
gene_1515	1980075
gene_1516	1980076
gene_1517	1980077
gene_1518	1980078
gene_1520	1980080
gene_1521	1980081
gene_1522	1980082
gene_1524	1980084
gene_1525	1980085
gene_1526	1980086
gene_1527	1980087
gene_1528	1980088
gene_1529	1980089
gene_1530	1980090
gene_1533	1980093
gene_1534	1980094
gene_1535	1980095
gene_1537	1980097
gene_1538	1980098
gene_1539	1980099
gene_1541	1980101
gene_1542	1980102
gene_1545	1980105
gene_1547	1980107
gene_1549	1980109
gene_1550	1980110
gene_1554	1980114
gene_1555	1980115
gene_1556	1980116
gene_1557	1980117
gene_1558	1980118
gene_1562	1980122
gene_1564	1980124
gene_1565	1980125
gene_1568	1980128
gene_1569	1980129
gene_1570	1980130
gene_1573	1980133
gene_1579	1980139
gene_1580	1980140
gene_1581	1980141
gene_1582	1980142
gene_1583	1980143
gene_1584	1980144
gene_1586	1980146
gene_1591	1980151
gene_1593	1980153
gene_1594	1980154
gene_1598	1980158
gene_1599	1980159
gene_1600	1980160
gene_1601	1980161
gene_1602	1980162
gene_1605	1980165
gene_1606	1980166
gene_1607	1980167
gene_1608	1980168
gene_1609	1980169
gene_1610	1980170
gene_1612	1980172
gene_1613	1980173
gene_1614	1980174
gene_1615	1980175
gene_1617	1980177
gene_1621	1980181
gene_1626	1980186
gene_1628	1980188
gene_1630	1980190
gene_1632	1980192
gene_1634	1980194
gene_1641	1980201
gene_1642	1980202
gene_1643	1980203
gene_1645	1980205
gene_1649	1980209
gene_1652	1980212
gene_1655	1980215
gene_1656	1980216
gene_1657	1980217
gene_1658	1980218
gene_1659	1980219
gene_1661	1980221
gene_1663	1980223
gene_1665	1980225
gene_1666	1980226
gene_1667	1980227
gene_1668	1980228
gene_1669	1980229
gene_1670	1980230
gene_1671	1980231
gene_1672	1980232
gene_1674	1980234
gene_1675	1980235
gene_1676	1980236
gene_1680	1980240
gene_1681	1980241
gene_1682	1980242
gene_1684	1980244
gene_1685	1980245
gene_1686	1980246
gene_1689	1980249
gene_1691	1980251
gene_1695	1980255
