gene_id	baseMean	dispersion	maxCooks	betaConverged
gene_260	4098.09742733164	0.00858128093866763	0.122107291456427	TRUE
gene_261	936.929282062746	0.0188402132817655	0.290471438311719	TRUE
gene_262	943.285529614256	0.00765226543683474	0.0740539890842354	TRUE
gene_263	759.592065778055	0.021069810329623	0.311602807144102	TRUE
gene_264	83.0101177275597	0.0230366950981234	0.310201335410368	TRUE
gene_265	482.891396364594	0.0256899308425809	0.188417587774185	TRUE
gene_266	623.866924709688	0.0130421825786132	0.0898981134666372	TRUE
gene_267	940.443529335827	0.0347568653513963	0.561787766264507	TRUE
gene_268	2688.53226949339	0.00527249095533003	0.0440073680264616	TRUE
gene_269	116.766742580408	0.0634939564819921	0.39373162218512	TRUE
gene_270	0.95053192593348	1.93675042465945	0.347795296182003	TRUE
gene_271	159.936545847249	0.0220606587137941	0.41586196926845	TRUE
gene_272	1777.75341932834	0.00400175500141733	0.0270953471250612	TRUE
gene_273	1483.5328114225	0.00383939026134527	0.0307598232101185	TRUE
gene_274	1056.33716340359	0.00644152385382662	0.115198576709191	TRUE
gene_275	41115.0350575078	0.00371765092832067	0.0321953736411169	TRUE
gene_276	466.96097618682	0.0118381648752764	0.120653640603113	TRUE
gene_277	559.445269034847	0.00431102593841421	0.0190329588102446	TRUE
gene_278	4081.40339689256	0.0261023432139907	0.31449600435768	TRUE
gene_279	280.329797878921	0.0259781377951422	0.556897475262964	TRUE
gene_280	381.286761503998	0.0346879042536943	0.225196078605354	TRUE
gene_281	1441.95588158614	0.0132621494262272	0.118349361245443	TRUE
gene_282	231.991994818375	0.0102102574785547	0.114865008181094	TRUE
gene_283	293.342074260783	0.00677837872789508	0.0373070319006235	TRUE
gene_284	1716.7500714922	0.00856787957401932	0.15803731355292	TRUE
gene_285	221.349568004591	0.0164439302774396	0.318903335432181	TRUE
gene_286	916.380870492046	0.0137185881377191	0.274554328351534	TRUE
gene_287	61.3498203858094	0.0344695785931595	0.171382945639872	TRUE
gene_288	186.620700736924	0.0232633180384694	0.171747687580855	TRUE
gene_289	594.871352892281	0.0263363473231226	0.104420553346663	TRUE
gene_290	1929.98453113246	0.0085026439070462	0.139635408601181	TRUE
gene_291	952.510223890542	0.020090034377117	0.461610436274149	TRUE
gene_292	1611.50021464817	0.0090417973725736	0.161939833640631	TRUE
gene_293	1974.78647374379	0.00954957188204107	0.119855248756525	TRUE
gene_294	401.016583394086	0.00919370866034552	0.101907670267814	TRUE
gene_295	657.57480550168	0.0256085771978915	0.379874310697894	TRUE
gene_296	1132.45769926431	0.0169952197159869	0.475123508780332	TRUE
gene_297	497.230394132364	0.0144203772113279	0.139049487055972	TRUE
gene_298	224.679130042945	0.031896787153179	0.636108178561153	TRUE
gene_299	765.089209906831	0.00390324615210835	0.0185582304608107	TRUE
gene_300	761.363118239988	0.0149757907330879	0.229031365341298	TRUE
gene_301	145.388454631281	0.0354861924023107	0.149555674318929	TRUE
gene_302	365.295405828311	0.01293221143444	0.0887353749669885	TRUE
gene_303	1010.18619277472	0.00680023253631061	0.0803383271620433	TRUE
gene_304	4233.04101824002	0.00370181779293455	0.0470971875143428	TRUE
gene_305	3295.09671694703	0.00416990972398563	0.0461082130841397	TRUE
gene_306	3603.85767322821	0.00410068179150704	0.0348938904858111	TRUE
gene_307	629.118415965844	0.0214442597285081	0.472363463642495	TRUE
gene_308	215.143736509266	0.0651241899050135	1.26199400963716	TRUE
gene_309	782.860115194506	0.00652553334330446	0.0548657122687271	TRUE
gene_310	741.974298860146	0.0129558717860546	0.194672780844208	TRUE
gene_311	592.464823510781	0.0151139027604699	0.148727860667811	TRUE
gene_312	166.15384785193	0.0341754258796222	0.468331644796042	TRUE
gene_313	598.758101394556	0.0101427208307767	0.200932892331778	TRUE
gene_314	945.230823333119	0.00364136735374362	0.0194436582372044	TRUE
gene_315	809.542764038864	0.0220892310324447	0.35888737228259	TRUE
gene_316	572.535991621489	0.0241456649010448	0.526599381484936	TRUE
gene_317	649.369402202695	0.00666322320327342	0.077962773104383	TRUE
gene_318	182.720339063709	0.0358793407942416	0.130622049141279	TRUE
gene_319	519.984687055079	0.00785317233504026	0.131496334254988	TRUE
gene_320	5661.73482086659	0.0254787064463286	0.51681720218149	TRUE
gene_321	3695.7161972126	0.00876023220751221	0.144333108585932	TRUE
gene_322	2024.92226914306	0.00884012840558366	0.081361521915832	TRUE
gene_323	784.120690665039	0.00678048253763983	0.0634066467870939	TRUE
gene_324	1183.69039020569	0.00736616388347198	0.0591057954871916	TRUE
gene_325	688.799672064795	0.0055360405246246	0.0325297301558443	TRUE
gene_326	2617.25345971504	0.00968803210692114	0.133124947341384	TRUE
gene_327	2668.40701293302	0.00760960981133611	0.0898267015974261	TRUE
gene_328	4619.80687746409	0.00488184836737883	0.0497846351126379	TRUE
gene_329	677.01145681423	0.0224213906840504	0.49146449178388	TRUE
