ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map03410	map03410	1/11	28/2403	0.0357142857142857	7.80194805194805	2.45461156423329	0.121198598227501	0.183435716236218	0.162057869607185	TRINITY_DN14440_c0_g1	1	interaction_vs_self	strong	up	FALSE	3410	map03410	ko,map
map05034	map05034	1/11	31/2403	0.032258064516129	7.04692082111437	2.29752392723924	0.133357942276673	0.192327716020791	0.169913583702578	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5034	map05034	ko,map
map00100	map00100	1/11	32/2403	0.03125	6.82670454545455	2.2497510620924	0.13737694001485	0.192327716020791	0.169913583702578	TRINITY_DN4059_c0_g1	1	interaction_vs_self	strong	up	FALSE	100	map00100	ko,map
map04152	map04152	1/11	32/2403	0.03125	6.82670454545455	2.2497510620924	0.13737694001485	0.192327716020791	0.169913583702578	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4152	map04152	ko,map
map04151	map04151	1/11	35/2403	0.0285714285714286	6.24155844155844	2.1179020074334	0.149332486624991	0.199109982166655	0.175905435372796	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4151	map04151	ko,map
map04213	map04213	1/11	35/2403	0.0285714285714286	6.24155844155844	2.1179020074334	0.149332486624991	0.199109982166655	0.175905435372796	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4213	map04213	ko,map
map05165	map05165	1/11	39/2403	0.0256410256410256	5.6013986013986	1.96426772149892	0.16503889565848	0.214934375741276	0.189885632703759	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5165	map05165	ko,map
map00561	map00561	1/11	45/2403	0.0222222222222222	4.85454545454545	1.7697412933607	0.18810461619162	0.239405875152971	0.211505190454693	TRINITY_DN8758_c0_g1	1	interaction_vs_self	strong	up	FALSE	561	map00561	ko,map
map00564	map00564	1/11	48/2403	0.0208333333333333	4.55113636363636	1.68498007213929	0.199418874107931	0.24816571000098	0.219244142294099	TRINITY_DN8758_c0_g1	1	interaction_vs_self	strong	up	FALSE	564	map00564	ko,map
map05203	map05203	1/11	50/2403	0.02	4.36909090909091	1.63225882316512	0.206881878114996	0.251856199444344	0.222504537103085	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5203	map05203	ko,map
