ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map00350	map00350	13/379	52/2403	0.25	1.58509234828496	1.84544296809833	0.0550467486249566	0.641655413796278	0.631021532416664	TRINITY_DN1115_c0_g1/TRINITY_DN15791_c0_g1/TRINITY_DN1619_c0_g1/TRINITY_DN17644_c0_g1/TRINITY_DN17664_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN3147_c0_g1/TRINITY_DN34_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4682_c1_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN580_c0_g1	13	interaction_vs_self	significant	up	FALSE	350	map00350	ko,map
map00625	map00625	7/379	23/2403	0.304347826086957	1.92967764139039	1.93824502663002	0.0575473263156062	0.641655413796278	0.631021532416664	TRINITY_DN1115_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN297_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1	7	interaction_vs_self	significant	up	FALSE	625	map00625	ko,map
map05132	map05132	7/379	23/2403	0.304347826086957	1.92967764139039	1.93824502663002	0.0575473263156062	0.641655413796278	0.631021532416664	TRINITY_DN3821_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN4023_c0_g1/TRINITY_DN577_c0_g1/TRINITY_DN6757_c0_g1/TRINITY_DN940_c0_g1	7	interaction_vs_self	significant	up	FALSE	5132	map05132	ko,map
map00903	map00903	4/379	10/2403	0.4	2.53614775725594	2.10602001492448	0.0582500962749954	0.641655413796278	0.631021532416664	TRINITY_DN1115_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1	4	interaction_vs_self	significant	up	FALSE	903	map00903	ko,map
map00981	map00981	4/379	10/2403	0.4	2.53614775725594	2.10602001492448	0.0582500962749954	0.641655413796278	0.631021532416664	TRINITY_DN1115_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1	4	interaction_vs_self	significant	up	FALSE	981	map00981	ko,map
map04146	map04146	18/379	79/2403	0.227848101265823	1.44464112755085	1.73862518749754	0.0615797343997635	0.641655413796278	0.631021532416664	TRINITY_DN1005_c0_g1/TRINITY_DN1678_c0_g1/TRINITY_DN1734_c0_g1/TRINITY_DN17612_c1_g1/TRINITY_DN208_c0_g1/TRINITY_DN2128_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2839_c0_g1/TRINITY_DN3142_c0_g1/TRINITY_DN4590_c0_g1/TRINITY_DN4660_c0_g1/TRINITY_DN4740_c0_g1/TRINITY_DN48_c0_g1/TRINITY_DN4947_c0_g1/TRINITY_DN4953_c0_g1/TRINITY_DN5354_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN674_c0_g1	18	interaction_vs_self	significant	up	FALSE	4146	map04146	ko,map
map03022	map03022	9/379	33/2403	0.272727272727273	1.7291916526745	1.82484229361983	0.0634167788765093	0.641655413796278	0.631021532416664	TRINITY_DN116_c0_g1/TRINITY_DN1270_c0_g5/TRINITY_DN16074_c0_g1/TRINITY_DN1619_c0_g1/TRINITY_DN1881_c0_g1/TRINITY_DN208_c0_g1/TRINITY_DN2956_c0_g1/TRINITY_DN3891_c0_g1/TRINITY_DN519_c0_g1	9	interaction_vs_self	significant	up	FALSE	3022	map03022	ko,map
map03018	map03018	12/379	48/2403	0.25	1.58509234828496	1.7715378426027	0.0638745211905465	0.641655413796278	0.631021532416664	TRINITY_DN104_c0_g1/TRINITY_DN10814_c0_g1/TRINITY_DN1113_c0_g1/TRINITY_DN12341_c0_g1/TRINITY_DN12439_c0_g1/TRINITY_DN1877_c0_g1/TRINITY_DN2348_c0_g1/TRINITY_DN2777_c0_g1/TRINITY_DN442_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN804_c0_g1/TRINITY_DN926_c0_g1	12	interaction_vs_self	significant	up	FALSE	3018	map03018	ko,map
map00980	map00980	11/379	43/2403	0.255813953488372	1.62195496103577	1.78048375298268	0.064387567474367	0.641655413796278	0.631021532416664	TRINITY_DN1115_c0_g1/TRINITY_DN1372_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN1572_c0_g1/TRINITY_DN268_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4802_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN5915_c0_g1	11	interaction_vs_self	significant	up	FALSE	980	map00980	ko,map
map00565	map00565	5/379	15/2403	0.333333333333333	2.11345646437995	1.87155485922937	0.0733006190990413	0.670573977837662	0.659460841435691	TRINITY_DN1310_c0_g1/TRINITY_DN511_c0_g1/TRINITY_DN545_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN873_c0_g1	5	interaction_vs_self	significant	up	FALSE	565	map00565	ko,map
map04020	map04020	5/379	15/2403	0.333333333333333	2.11345646437995	1.87155485922937	0.0733006190990413	0.670573977837662	0.659460841435691	TRINITY_DN15788_c0_g1/TRINITY_DN16277_c0_g1/TRINITY_DN1823_c0_g1/TRINITY_DN846_c0_g1/TRINITY_DN8872_c0_g1	5	interaction_vs_self	significant	up	FALSE	4020	map04020	ko,map
map00310	map00310	11/379	44/2403	0.25	1.58509234828496	1.6946797450715	0.074250405850537	0.670573977837662	0.659460841435691	TRINITY_DN1005_c0_g1/TRINITY_DN1115_c0_g1/TRINITY_DN1158_c0_g1/TRINITY_DN1487_c0_g1/TRINITY_DN208_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN4590_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN8903_c0_g1	11	interaction_vs_self	significant	up	FALSE	310	map00310	ko,map
map05030	map05030	4/379	11/2403	0.363636363636364	2.30558887023267	1.87768633876486	0.080507133103851	0.682624851217905	0.671312000833489	TRINITY_DN1008_c0_g1/TRINITY_DN4682_c1_g1/TRINITY_DN566_c0_g1/TRINITY_DN6381_c0_g1	4	interaction_vs_self	significant	up	FALSE	5030	map05030	ko,map
map00561	map00561	11/379	45/2403	0.244444444444444	1.54986807387863	1.61099322349733	0.0850229676676829	0.682624851217905	0.671312000833489	TRINITY_DN1115_c0_g1/TRINITY_DN1310_c0_g1/TRINITY_DN14198_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3796_c0_g1/TRINITY_DN4312_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN8758_c0_g1/TRINITY_DN9077_c0_g1	11	interaction_vs_self	significant	up	FALSE	561	map00561	ko,map
map00340	map00340	7/379	25/2403	0.28	1.77530343007916	1.68591873560455	0.0854704263854846	0.682624851217905	0.671312000833489	TRINITY_DN1115_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3452_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN688_c0_g1/TRINITY_DN762_c0_g1	7	interaction_vs_self	significant	up	FALSE	340	map00340	ko,map
