gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_5803	onu_vs_self	955.630238730359	0.97863721436873	0.0898661694527713	10.889940233661	1.2872472026661e-27	2.37474914974607e-26
gene_1295	onu_vs_self	1374.04400909558	1.05047408278938	0.0964680409737568	10.8893481425123	1.29564305585286e-27	2.38509775443021e-26
gene_7063	onu_vs_self	1862.13235413805	-1.17825731459665	0.10832124980514	-10.8774346373978	1.47660182140705e-27	2.71238446164042e-26
gene_187	onu_vs_self	2671.64136916195	0.736846760645277	0.0678622100204419	10.8579835584977	1.82739737306035e-27	3.34957634119842e-26
gene_728	onu_vs_self	1077.91817830833	-0.78133679899992	0.072071994722708	-10.8410597209923	2.19908798500082e-27	4.02226349393313e-26
gene_1893	onu_vs_self	201.380498138483	2.86886781235042	0.264639518649335	10.840662902474	2.20864804207382e-27	4.03113587210062e-26
gene_1972	onu_vs_self	15078.4639685882	-0.688743549765797	0.0635496754472171	-10.8378767463235	2.27694202021251e-27	4.14694121128065e-26
gene_6648	onu_vs_self	3649.21873385635	-0.899626884569825	0.0831164800051267	-10.8236884492021	2.65858026223955e-27	4.83172973349692e-26
gene_2860	onu_vs_self	4553.98472865365	1.39761308391335	0.129150463381477	10.8215878388695	2.72023235950946e-27	4.93330275368664e-26
gene_790	onu_vs_self	6251.39377942826	-1.79503684330606	0.167220829685521	-10.7345289859035	7.00754010574966e-27	1.268172162901e-25
gene_4442	onu_vs_self	860.438747958414	1.26690523053827	0.118034831372599	10.7333167320674	7.10010819576637e-27	1.28221363197806e-25
gene_1817	onu_vs_self	3234.10408797395	-0.593358249270648	0.0553164516258367	-10.7266144488832	7.63421040543605e-27	1.37576507516911e-25
gene_6303	onu_vs_self	6988.41905047561	0.687736487110979	0.0641409932513648	10.7222612599057	8.00226129273823e-27	1.43906211482855e-25
gene_1701	onu_vs_self	1704.65280113508	-1.59240643655746	0.148905709057985	-10.6940589896212	1.08515535531811e-26	1.94736474665053e-25
gene_7810	onu_vs_self	1693.01766268038	0.981671272502823	0.0920600824040821	10.6633759917131	1.51014126364663e-26	2.70435339263915e-25
gene_2241	onu_vs_self	1355.69665536061	1.03950939515795	0.0974977633697374	10.661879403488	1.53464449189404e-26	2.74249621098392e-25
gene_1157	onu_vs_self	4428.26361679358	0.649393779150844	0.0609515459041536	10.6542626526982	1.66559298664793e-26	2.97030749285547e-25
gene_3730	onu_vs_self	700.301935885347	1.09790428750269	0.103105428079314	10.6483655415128	1.77453334962132e-26	3.15800529579179e-25
gene_1833	onu_vs_self	353.951437268764	2.46192777714647	0.23127144079865	10.6451871819741	1.83614864264206e-26	3.26087808734773e-25
gene_5513	onu_vs_self	1223.32357292191	0.876176700022577	0.0825100488301812	10.6190301962599	2.43073245794633e-26	4.3078819544556e-25
gene_1437	onu_vs_self	2646.48350164447	-0.769847901762238	0.0725180476280461	-10.6159490905062	2.51228199399848e-26	4.44320947698904e-25
gene_1888	onu_vs_self	3180.34273468206	-1.83013028878096	0.173016365820872	-10.5777871364825	3.77774960234762e-26	6.6675333187826e-25
gene_3803	onu_vs_self	5645.4407234988	0.83492070681213	0.0789952730905343	10.5692489455065	4.13795156143843e-26	7.28824390245123e-25
gene_7528	onu_vs_self	361.438975541386	-1.32253404007179	0.125250988903486	-10.559070644072	4.61205261676679e-26	8.10660583152438e-25
gene_5201	onu_vs_self	2296.90003129523	0.737879389795162	0.0698866216270509	10.5582352189357	4.65327716359791e-26	8.16230584434388e-25
gene_7327	onu_vs_self	1572.82599508802	1.88912938762153	0.179208515992786	10.5415157151214	5.55955433634353e-26	9.73206239654409e-25
