gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE
gene_5337	interaction_vs_onu	11.8209192193636	0.0673782033154278	0.607070616838619	0.11098907021115	0.911625013889044	0.937020907647721	0.028342959784107245	0.3893595363675569
gene_5338	interaction_vs_onu	969.991229552267	0.395687223751896	0.133631368987938	2.96103547205006	0.00306606624003282	0.0067835427797056	0.3754842138689167	0.13158032109461873
gene_5339	interaction_vs_onu	904.087019671871	-0.0335358653880425	0.118175473604943	-0.283780249530896	0.776578791153424	0.828867138687445	-0.03031775409521139	0.1151030526459911
gene_5340	interaction_vs_onu	11.5178732169428	-0.977490412602355	0.611441137600898	-1.59866641691418	0.109894743460242	0.163061016470735	-0.4947642788126474	0.5208329389857024
gene_5341	interaction_vs_onu	152.415244264397	1.13116077231393	0.268075937775867	4.21955354030944	2.4478658738111e-5	8.02824976238429e-5	1.0380034317228295	0.27261475688332537
gene_5342	interaction_vs_onu	1064.33699550091	0.359055154603463	0.0916592578440746	3.91728193145822	8.9552993070003e-5	2.6906760992601e-4	0.3498377474257988	0.09092488681768546
gene_5343	interaction_vs_onu	607.081646315611	-2.79758170695034	0.175277023358476	-15.9609152035217	2.39197967447353e-57	1.32956792295412e-55	-2.7763636687877478	0.17562898178777964
gene_5344	interaction_vs_onu	1408.39142466991	0.118271854170927	0.0739897109639095	1.5984905553776	0.109933845671629	0.163090765849072	0.11591756531834406	0.07328081091778471
gene_5345	interaction_vs_onu	2131.12443919426	-0.379847079546896	0.0689286333882047	-5.51072987923038	3.57348768365343e-8	1.73231777730283e-7	-0.37433777038216126	0.06863661003908655
gene_5346	interaction_vs_onu	1635.11443766081	0.0361054787808476	0.074147700704971	0.486939964929041	0.626300876174249	0.70061885782169	0.03599885657751411	0.07334968575869273
gene_5347	interaction_vs_onu	64.1734032286991	-0.562947437316169	0.292223827891029	-1.92642551217998	0.0540512644179965	0.0875291001547578	-0.45475938650525644	0.2781170533283648
gene_5348	interaction_vs_onu	927.463405010778	-0.195319854833846	0.0859017639152724	-2.27375837155679	0.0229805184286653	0.0407823618441726	-0.1901752545045275	0.08492384102447549
gene_5349	interaction_vs_onu	853.233015051064	0.15734792582822	0.232249338490917	0.677495689979645	0.498091503759837	0.585346412985201	0.13019539447297904	0.21279819470650463
gene_5350	interaction_vs_onu	1536.30755668053	-0.0919131077894221	0.110592792665164	-0.831094916534954	0.405920011261115	0.494927262989703	-0.08755552736934567	0.10814625987005132
gene_5351	interaction_vs_onu	6689.24783769766	0.577772742943732	0.086066926172413	6.7130635267061	1.90580090704602e-11	1.29165920540886e-10	0.5671691448764468	0.0858909038773888
gene_5352	interaction_vs_onu	647.004971273907	-0.542705559589945	0.12111675983885	-4.48084608861756	7.43477136437202e-6	2.6298199536787e-5	-0.5231987950559494	0.12044032608533146
gene_5353	interaction_vs_onu	279.485849584992	0.245693529420221	0.11960387144166	2.05422722909153	0.0399537041683986	0.0669938702608211	0.2340934607580966	0.11724009702252414
gene_5354	interaction_vs_onu	1858.04379985886	-0.212506010061113	0.132705217252081	-1.60133877523026	0.109301905217568	0.162293895691653	-0.19601515214814366	0.12923335932839514
gene_5355	interaction_vs_onu	395.055889001575	0.0478337806418258	0.134629913961652	0.355298308037624	0.722366122876826	0.784901499343188	0.04478002941062695	0.1301598836495341
gene_5356	interaction_vs_onu	189.430418829449	-0.154655891524953	0.257390793759037	-0.600860229949553	0.547933083929542	0.632031693631165	-0.12321592230674301	0.23137475327610796
gene_5357	interaction_vs_onu	3299.45754800994	0.0870947055066009	0.118573530440501	0.734520640340586	0.462631485258394	0.550170257545409	0.0829840635384559	0.11555206084493526
gene_5358	interaction_vs_onu	187.422520373068	0.949629340799057	0.374421867490708	2.53625501940702	0.011204510694188	0.0215239253909895	0.7550984028972719	0.3777649915906037
gene_5359	interaction_vs_onu	777.776636542399	0.530209864736523	0.127371928074032	4.16269010569071	3.1452009315051e-5	1.0136641556356e-4	0.5089613713224369	0.12647833319942306
gene_5360	interaction_vs_onu	2832.92387758224	0.378005340499484	0.0633958814442245	5.96261668562889	2.4823026690602803e-9	1.37619888906451e-8	0.3735896826680341	0.06317644234754696
gene_5361	interaction_vs_onu	150.778844272295	0.0507310614951301	0.198215527967894	0.255938886399188	0.797998027357536	0.846118001847944	0.04329639044419268	0.18475060943147953
gene_5362	interaction_vs_onu	133.229233813187	-0.410110659522708	0.175375453098291	-2.33847241605048	0.0193627549700594	0.0350635038171585	-0.37470713101436104	0.17078572953699292
gene_5363	interaction_vs_onu	1054.49260314191	-0.179740996881027	0.0806285004889196	-2.22924891063461	0.0257973478560723	0.0451216382607232	-0.175607665074276	0.07979308379811972
gene_5364	interaction_vs_onu	730.60612736326	0.671759673696608	0.1292254894657	5.19835271256537	2.01062345096374e-7	8.90374378698895e-7	0.6487507933717238	0.12895598020287177
gene_5365	interaction_vs_onu	3572.2212253277	0.739097991227206	0.406298934244006	1.81909901536521	0.0688963252701554	0.107993507473454	0.5220359134199021	0.38262428801020953
gene_5366	interaction_vs_onu	582.443096176952	-0.323305360189403	0.100549424944511	-3.21538746111995	0.00130268561820131	0.00314555398922516	-0.31281521384815664	0.09940715792244036
gene_5367	interaction_vs_onu	1031.40228109158	0.646215744683732	0.225125083815844	2.8704741991894	0.00409856643008086	0.00878190954730716	0.5776588862738483	0.22235842992945623
gene_5368	interaction_vs_onu	1826.01230381864	0.200436441202925	0.0993682133495023	2.01710823256871	0.0436842197010942	0.0724683954731331	0.1936063707710364	0.09785245623939942
gene_5369	interaction_vs_onu	3154.03916275568	0.652440554461516	0.0690419633386816	9.44991310952448	3.39112084281108e-21	4.73539876255511e-20	0.6463652404997445	0.069016943571025
gene_5370	interaction_vs_onu	14.1237026836213	0.705817560469739	0.61212882654806	1.15305394854546	0.248888241892625	0.329032177698977	0.3180442726116252	0.4551422055034887
gene_5371	interaction_vs_onu	55.3686304325153	0.315244051308153	0.30580533989924	1.03086509677046	0.302604086263063	0.387072770234881	0.23742833686455764	0.2724600332069504
gene_5372	interaction_vs_onu	24.4202459868394	-0.72339594690841	0.38908295053013	-1.85923321986423	0.0629940880056612	0.0999313182595367	-0.5224471348985884	0.36555930914484824
