ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
1,4-Dichlorobenzene degradation	1,4-Dichlorobenzene degradation	7/446	14/1145	0.5	1.28363228699552	0.852570371310134	0.27811255192241	0.999971980000289	0.931991428728339	gene_1501/gene_1531/gene_2632/gene_3352/gene_3374/gene_6265/gene_7764	7	interaction_vs_onu	significant	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Galactose metabolism	Galactose metabolism	18/446	41/1145	0.439024390243902	1.12709176419118	0.661708408942446	0.306197690970409	0.999971980000289	0.931991428728339	gene_129/gene_184/gene_341/gene_972/gene_2533/gene_3385/gene_4108/gene_4337/gene_6002/gene_6198/gene_6421/gene_6679/gene_7157/gene_7634/gene_7768/gene_7824/gene_8033/gene_8563	18	interaction_vs_onu	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	6/446	12/1145	0.5	1.28363228699552	0.788629808798868	0.306606701238149	0.999971980000289	0.931991428728339	gene_1194/gene_1531/gene_2632/gene_2762/gene_6501/gene_7764	6	interaction_vs_onu	significant	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Fructose and mannose metabolism	Fructose and mannose metabolism	28/446	66/1145	0.424242424242424	1.08914254654165	0.595645870969345	0.318410407268648	0.999971980000289	0.931991428728339	gene_131/gene_184/gene_466/gene_681/gene_972/gene_1150/gene_1856/gene_3020/gene_3111/gene_3385/gene_3431/gene_3900/gene_4108/gene_4337/gene_5359/gene_5364/gene_5485/gene_5895/gene_6198/gene_7157/gene_7307/gene_7622/gene_7634/gene_7768/gene_7836/gene_8033/gene_8301/gene_8594	28	interaction_vs_onu	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	10/446	22/1145	0.454545454545455	1.1669384427232	0.631276574669447	0.336241185193531	0.999971980000289	0.931991428728339	gene_1531/gene_2632/gene_4257/gene_5212/gene_6166/gene_6362/gene_6477/gene_6533/gene_7764/gene_8181	10	interaction_vs_onu	significant	up	FALSE	Lipid Metabolism	METABOLIC
Nucleotide sugars metabolism	Nucleotide sugars metabolism	9/446	20/1145	0.45	1.15526905829596	0.559326645979062	0.366183114929606	0.999971980000289	0.931991428728339	gene_184/gene_972/gene_1589/gene_3007/gene_3640/gene_4108/gene_4337/gene_6198/gene_8033	9	interaction_vs_onu	significant	up	FALSE	Nucleotide Metabolism	METABOLIC
Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	17/446	40/1145	0.425	1.09108744394619	0.468219207596306	0.377062092836645	0.999971980000289	0.931991428728339	gene_978/gene_1033/gene_1198/gene_2137/gene_2152/gene_2174/gene_2957/gene_3100/gene_3313/gene_4153/gene_4583/gene_4813/gene_6340/gene_6475/gene_7050/gene_7443/gene_8248	17	interaction_vs_onu	significant	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Bile acid biosynthesis	Bile acid biosynthesis	19/446	45/1145	0.422222222222222	1.08395615346288	0.458779813738643	0.377427637084726	0.999971980000289	0.931991428728339	gene_184/gene_412/gene_972/gene_1207/gene_1225/gene_1531/gene_2632/gene_4055/gene_4108/gene_4109/gene_4258/gene_4337/gene_4567/gene_6198/gene_6533/gene_7764/gene_7836/gene_7933/gene_8033	19	interaction_vs_onu	significant	up	FALSE	Lipid Metabolism	METABOLIC
Sulfur metabolism	Sulfur metabolism	6/446	13/1145	0.461538461538462	1.18489134184201	0.535311891256379	0.394416257568683	0.999971980000289	0.931991428728339	gene_2070/gene_2471/gene_2848/gene_3242/gene_5159/gene_8184	6	interaction_vs_onu	significant	up	FALSE	Energy Metabolism	METABOLIC
Methionine metabolism	Methionine metabolism	8/446	18/1145	0.444444444444444	1.14100647732935	0.481454456771472	0.399846044395719	0.999971980000289	0.931991428728339	gene_1256/gene_1833/gene_1963/gene_2351/gene_3505/gene_5159/gene_8184/gene_8337	8	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
