ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
1,4-Dichlorobenzene degradation	1,4-Dichlorobenzene degradation	4/267	14/1145	0.285714285714286	1.22525414660246	0.467441099450454	0.418997965377199	0.999080029200713	0.999080029200713	gene_1501/gene_3374/gene_4253/gene_5766	4	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	4/267	14/1145	0.285714285714286	1.22525414660246	0.467441099450454	0.418997965377199	0.999080029200713	0.999080029200713	gene_2100/gene_2603/gene_3565/gene_8289	4	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Glycosaminoglycan degradation	Glycosaminoglycan degradation	2/267	6/1145	0.333333333333333	1.4294631710362	0.581381321316479	0.425938312675103	0.999080029200713	0.999080029200713	gene_2690/gene_7248	2	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Flavonoids, stilbene and lignin biosynthesis	Flavonoids, stilbene and lignin biosynthesis	9/267	36/1145	0.25	1.07209737827715	0.242284892435662	0.469748484267689	0.999080029200713	0.999080029200713	gene_674/gene_1413/gene_1439/gene_1902/gene_3731/gene_4253/gene_5659/gene_5766/gene_6311	9	onu_vs_self	significant	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Lysine biosynthesis	Lysine biosynthesis	4/267	15/1145	0.266666666666667	1.14357053682896	0.3085269579022	0.477393876689096	0.999080029200713	0.999080029200713	gene_1107/gene_1595/gene_3501/gene_6206	4	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Pyruvate metabolism	Pyruvate metabolism	12/267	49/1145	0.244897959183673	1.05021783994497	0.198048782103532	0.478526990425991	0.999080029200713	0.999080029200713	gene_246/gene_954/gene_2951/gene_4567/gene_4710/gene_4883/gene_5650/gene_5701/gene_6270/gene_7031/gene_7612/gene_7634	12	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Pentose phosphate pathway	Pentose phosphate pathway	7/267	28/1145	0.25	1.07209737827715	0.212908640364513	0.489647919902841	0.999080029200713	0.999080029200713	gene_748/gene_1181/gene_2401/gene_3336/gene_5326/gene_5841/gene_7922	7	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	5/267	20/1145	0.25	1.07209737827715	0.179299712853928	0.51590776783171	0.999080029200713	0.999080029200713	gene_121/gene_4040/gene_4720/gene_6129/gene_6189	5	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Sphingoglycolipid metabolism	Sphingoglycolipid metabolism	10/267	42/1145	0.238095238095238	1.02104512216872	0.0765966410445319	0.531158854329614	0.999080029200713	0.999080029200713	gene_1752/gene_2690/gene_2694/gene_3431/gene_4069/gene_5130/gene_6354/gene_6567/gene_7248/gene_7325	10	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Selenoamino acid metabolism	Selenoamino acid metabolism	6/267	25/1145	0.24	1.02921348314607	0.0814077439430821	0.546222133632724	0.999080029200713	0.999080029200713	gene_2164/gene_2351/gene_3815/gene_5159/gene_5762/gene_8175	6	onu_vs_self	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
