organism	contrast_id	contrast_label	story	gene_id	base_mean	log2_fold_change	padj	source_file	tested	significant	direction	abs_log2_fold_change	contrast_display
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7323	117.009621921611	-1.76485760085205	9.45864513985636e-13	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.76485760085205	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7327	1572.82599508802	-0.821319451927045	1.34854960385349e-5	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.821319451927045	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7329	870.517775471068	-1.23907381677512	2.3823694063711497e-19	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.23907381677512	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7330	1855.44317371192	-1.07097014234399	5.14441259518257e-24	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.07097014234399	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7331	2027.63469180325	-0.837502260541199	1.8993782002285499e-25	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.837502260541199	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7332	14141.9825430765	-0.677208849174	1.45944285637733e-31	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.677208849174	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7333	230.595841244327	-0.534921514271782	4.98167999771143e-5	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.534921514271782	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7334	607.688039676299	-1.30379265561278	1.8761026422041997e-31	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.30379265561278	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7335	893.594336730453	-1.29100432856093	2.75704503573098e-32	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.29100432856093	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7336	951.852215805537	-0.972642064500792	3.62482513716171e-14	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.972642064500792	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7337	10.3456174629855	-1.80615035864481	0.00659328253327606	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.80615035864481	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7339	7023.28497478721	0.913629936258664	7.94940407838969e-21	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.913629936258664	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7340	3964.83430303714	0.317914329780452	4.79528719272803e-7	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.317914329780452	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7341	1436.15131462699	0.693830010785235	4.3967646062252e-4	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.693830010785235	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7345	1420.95588804393	-0.866381353692801	3.2612757397144903e-15	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.866381353692801	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7347	4267.26357620549	-0.448676666228614	0.015389566666722	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.448676666228614	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7349	1309.11085917397	0.283978666863443	0.0212640655756649	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.283978666863443	Ophiostoma | Interaction vs control
