family	class	substrates	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted	total_secreted_up	total_secreted_down
CE1	CE	Unassigned	0	0	0	0	0	0				3	1	2	2	0	2	-1.1865452216000059	-1.4694119781879589	2.647618671513135	3	2	0	2
CE16	CE	Xylan | Unassigned	2	2	0	2	2	0	0.5041474278348655	0.5041474278348655	0.572204623919589	1	0	1	0	0	0	-1.9112965433214733	-1.9112965433214733	1.9112965433214733	3	2	2	0
GH15	GH	Alpha-glucan | Unassigned	1	0	1	1	0	1	-0.276141242296582	-0.276141242296582	0.276141242296582	2	1	1	1	0	1	0.291398043608759	0.291398043608759	1.8937484717945112	3	2	0	2
GH16_1	GH	Unassigned	0	0	0	0	0	0				3	1	2	2	0	2	-0.12975489613407123	-0.175607665074276	0.6346486509690344	3	2	0	2
GH35	GH	Other | Unassigned	0	0	0	0	0	0				3	0	3	2	0	2	-1.7480601569829692	-1.9957259092384843	2.969900180681878	3	2	0	2
GH37	GH	Trehalose | Unassigned	1	1	0	1	1	0	1.72884630879576	1.72884630879576	1.72884630879576	2	1	1	1	0	1	-0.1782323517627824	-0.1782323517627824	1.0222266770904793	3	2	1	1
AA1_2	AA	Other	0	0	0	0	0	0				2	1	1	2	1	1	0.07830179835412554	0.07830179835412554	0.6848440241465621	2	2	1	1
AA3_1	AA	Cellulose | Unassigned	1	0	1	1	0	1	-0.342806781087684	-0.342806781087684	0.342806781087684	1	0	1	1	0	1	-1.0909650702137232	-1.0909650702137232	1.0909650702137232	2	2	0	2
GH5_15	GH	Unassigned	2	1	1	2	1	1	0.004575756998802999	0.004575756998802999	0.179983559605514	0	0	0	0	0	0				2	2	1	1
GH43_24	GH	Xylan | Arabinogalactan | Unassigned	1	1	0	1	1	0	0.408345315612855	0.408345315612855	0.408345315612855	1	0	1	1	0	1	-1.0522324398561578	-1.0522324398561578	1.0522324398561578	2	2	1	1
GH51_2	GH	Arabinan | Unassigned	1	1	0	1	1	0	0.210961853258201	0.210961853258201	0.210961853258201	1	0	1	1	0	1	-4.516816432739538	-4.516816432739538	4.516816432739538	2	2	1	1
GH55_2	GH	Beta-glucan | Unassigned	1	0	1	1	0	1	-0.214011185005517	-0.214011185005517	0.214011185005517	1	0	1	1	0	1	-0.3069918917108022	-0.3069918917108022	0.3069918917108022	2	2	0	2
GH63	GH	Host glycan | Unassigned	1	0	1	1	0	1	-0.165757742151833	-0.165757742151833	0.165757742151833	1	1	0	1	1	0	0.565296123582347	0.565296123582347	0.565296123582347	2	2	1	1
GH131	GH	Unassigned	1	0	1	1	0	1	-0.302285706430445	-0.302285706430445	0.302285706430445	1	0	1	1	0	1	-0.4030200220422178	-0.4030200220422178	0.4030200220422178	2	2	0	2
GT2	GT	Unassigned	8	4	4	1	1	0	-0.016923558520212365	-0.020390653611466455	0.316641581607061	11	5	6	0	0	0	-0.4455254747048677	-0.31594125886566554	2.5714387206126452	19	1	1	0
GH78	GH	Pectin | Other | Unassigned	0	0	0	0	0	0				5	0	5	1	0	1	-1.207014942145857	-1.2787646334289196	1.9011935285730457	5	1	0	1
AA2	AA	Other	0	0	0	0	0	0				4	4	0	1	1	0	0.46562357972327123	0.5075149481376885	0.6885802635265899	4	1	1	0
GT22	GT	Unassigned	1	1	0	1	1	0	0.294505973669153	0.294505973669153	0.294505973669153	3	2	1	0	0	0	0.24749311863202053	0.47938794416253566	0.509469895419529	4	1	1	0
AA1	AA	Other | Unassigned	1	1	0	0	0	0	0.207445992963786	0.207445992963786	0.207445992963786	2	1	1	1	1	0	0.05350319368367551	0.05350319368367551	0.6187683046318408	3	1	1	0
GH1	GH	Unassigned	3	3	0	1	1	0	0.5402275010242009	0.424178401814395	0.952521120616203	0	0	0	0	0	0				3	1	1	0
CBM50	CBM	Chitin	0	0	0	0	0	0				2	1	1	1	0	1	-0.08470342229557717	-0.08470342229557717	0.6272120455681354	2	1	0	1
GH5_24	GH	Unassigned	1	1	0	1	1	0	0.174080891386706	0.174080891386706	0.174080891386706	1	1	0	0	0	0	1.2090433959147273	1.2090433959147273	1.2090433959147273	2	1	1	0
GH32	GH	Fructan | Unassigned	1	1	0	1	1	0	0.446190208695401	0.446190208695401	0.446190208695401	1	1	0	0	0	0	0.563681615797577	0.563681615797577	0.563681615797577	2	1	1	0
GH36	GH	Unassigned	2	2	0	1	1	0	0.5287675224220305	0.5287675224220305	0.740188604465362	0	0	0	0	0	0				2	1	1	0
GH125	GH	Mannan | Unassigned	1	0	1	0	0	0	-0.329022759516056	-0.329022759516056	0.329022759516056	1	0	1	1	0	1	-0.6535198973103808	-0.6535198973103808	0.6535198973103808	2	1	0	1
GT48	GT	Unassigned	1	1	0	1	1	0	0.743268420050361	0.743268420050361	0.743268420050361	1	1	0	0	0	0	0.43321893916358994	0.43321893916358994	0.43321893916358994	2	1	1	0
GT61	GT	Unassigned	0	0	0	0	0	0				2	0	2	1	0	1	-1.3466675821750742	-1.3466675821750742	1.9014420541828585	2	1	0	1
AA5	AA	Unassigned	1	0	1	1	0	1	-0.13837528440521	-0.13837528440521	0.13837528440521	0	0	0	0	0	0				1	1	0	1
AA13	AA	Unassigned	1	1	0	1	1	0	0.244982543051613	0.244982543051613	0.244982543051613	0	0	0	0	0	0				1	1	1	0
AA16	AA	Cellulose	0	0	0	0	0	0				1	1	0	1	1	0	1.8097262449724645	1.8097262449724645	1.8097262449724645	1	1	1	0
CBM18	CBM	Chitin	0	0	0	0	0	0				1	0	1	1	0	1	-0.6272120455681354	-0.6272120455681354	0.6272120455681354	1	1	0	1
CBM35	CBM	Xylan | Arabinogalactan	0	0	0	0	0	0				1	0	1	1	0	1	-1.0522324398561578	-1.0522324398561578	1.0522324398561578	1	1	0	1
CBM43	CBM	Beta-glucan	0	0	0	0	0	0				1	1	0	1	1	0	0.6830006439043477	0.6830006439043477	0.6830006439043477	1	1	1	0
CBM52	CBM	Unassigned	0	0	0	0	0	0				1	1	0	1	1	0	0.3178208529741655	0.3178208529741655	0.3178208529741655	1	1	1	0
CBM63	CBM	Unassigned	1	0	1	1	0	1	-0.384128442195117	-0.384128442195117	0.384128442195117	0	0	0	0	0	0				1	1	0	1
CE12	CE	Xylan	0	0	0	0	0	0				1	1	0	1	1	0	1.2685900220613466	1.2685900220613466	1.2685900220613466	1	1	1	0
GH2_1	GH	Other	0	0	0	0	0	0				1	0	1	1	0	1	-1.705173208242881	-1.705173208242881	1.705173208242881	1	1	0	1
GH2_16	GH	Unassigned	1	1	0	1	1	0	0.620234307493427	0.620234307493427	0.620234307493427	0	0	0	0	0	0				1	1	1	0
GH2_18	GH	Unassigned	1	1	0	1	1	0	0.609029036451382	0.609029036451382	0.609029036451382	0	0	0	0	0	0				1	1	1	0
GH5_7	GH	Mannan	0	0	0	0	0	0				1	0	1	1	0	1	-2.0577477603216536	-2.0577477603216536	2.0577477603216536	1	1	0	1
GH5_16	GH	Arabinogalactan	0	0	0	0	0	0				1	1	0	1	1	0	1.815003716057038	1.815003716057038	1.815003716057038	1	1	1	0
GH5_31	GH	Unassigned	1	1	0	1	1	0	0.679223750022245	0.679223750022245	0.679223750022245	0	0	0	0	0	0				1	1	1	0
