response_group	cog	group_hits	group_total	group_percent	other_hits	other_total	other_percent	odds_ratio	pvalue	padj	significant	enrichment_direction
Non-contact-region specific	W	2	1262	0.15847860538827258	3	4559	0.06580390436499232	2.4101394448272204	0.297421806910374	0.5490864127576136	FALSE	Not significant
Non-contact-region specific	K	55	1262	4.358161648177496	170	4559	3.7288879140162314	1.1764465960916262	0.3218797381752377	0.551793836871836	FALSE	Not significant
Non-contact-region specific	B	22	1262	1.7432646592709984	65	4559	1.4257512612415004	1.2266045315046727	0.4312206620228613	0.6684143840373131	FALSE	Not significant
Non-contact-region specific	I	41	1262	3.248811410459588	172	4559	3.7727571835928932	0.8564841538055832	0.44560958935820877	0.6684143840373131	FALSE	Not significant
Non-contact-region specific	D	21	1262	1.6640253565768621	66	4559	1.447685896029831	1.1519670724224644	0.5998268435881531	0.7869385422178177	FALSE	Not significant
Non-contact-region specific	H	30	1262	2.3771790808240887	122	4559	2.6760254441763545	0.8856238496080889	0.6184248058726756	0.7869385422178177	FALSE	Not significant
Non-contact-region specific	T	52	1262	4.120443740095087	175	4559	3.8385610879578853	1.0765865313723275	0.6229930125891057	0.7869385422178177	FALSE	Not significant
Non-contact-region specific	V	5	1262	0.39619651347068147	25	4559	0.5483658697082694	0.721442666009628	0.6581665833201534	0.7897998999841841	FALSE	Not significant
Non-contact-region specific	M	11	1262	0.8716323296354992	46	4559	1.0089932002632156	0.8626884395483382	0.7485059603611591	0.8554353832698961	FALSE	Not significant
Non-contact-region specific	Z	20	1262	1.5847860538827259	71	4559	1.557359069971485	1.0178924841200174	0.8985962814311047	0.980286852470296	FALSE	Not significant
Non-contact-region specific	F	16	1262	1.2678288431061806	60	4559	1.3160780872998465	0.9628595441476298	1	1	FALSE	Not significant
Non-contact-region specific	Y	3	1262	0.23771790808240886	13	4559	0.28515025224830004	0.8332884226822499	1	1	FALSE	Not significant
Plate-wide confrontation response	A	15	937	1.6008537886873	168	4884	3.43980343980344	0.4567465043144005	0.002054560539666481	0.04930945295199555	TRUE	Depleted
Plate-wide confrontation response	B	22	937	2.3479188900747063	65	4884	1.330876330876331	1.7823499531056857	0.026298966814163244	0.21039173451330595	FALSE	Not significant
Plate-wide confrontation response	G	38	937	4.055496264674493	287	4884	5.876330876330877	0.6770883321359349	0.024333680804252005	0.21039173451330595	FALSE	Not significant
Plate-wide confrontation response	Z	8	937	0.8537886872998933	83	4884	1.6994266994266993	0.4981637909600006	0.06073768367377387	0.36442610204264325	FALSE	Not significant
Plate-wide confrontation response	J	45	937	4.8025613660619	185	4884	3.787878787878788	1.2813305664609465	0.14351989556892297	0.6888954987308302	FALSE	Not significant
Plate-wide confrontation response	C	26	937	2.774813233724653	178	4884	3.6445536445536444	0.7545831018103315	0.20744475204447377	0.8297790081778951	FALSE	Not significant
Plate-wide confrontation response	D	12	937	1.2806830309498398	75	4884	1.5356265356265357	0.8318522315130129	0.6598162972958596	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	E	55	937	5.869797225186766	272	4884	5.569205569205569	1.0573385201629149	0.6988676905836901	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	F	16	937	1.7075773745997866	60	4884	1.2285012285012284	1.3966512799339184	0.26930850247117466	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	I	31	937	3.3084311632870866	182	4884	3.7264537264537263	0.8840029359334797	0.5701045550666913	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	K	39	937	4.16221985058698	186	4884	3.808353808353808	1.0969588085530468	0.5797557494972476	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	L	29	937	3.0949839914621133	138	4884	2.8255528255528257	1.0984067945174631	0.6688425948536104	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	M	7	937	0.7470651013874067	50	4884	1.0237510237510237	0.7277358941068297	0.5858709183103623	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	O	61	937	6.510138740661686	294	4884	6.019656019656019	1.0871559744893964	0.5515108878609787	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	T	40	937	4.268943436499466	187	4884	3.828828828828829	1.1200820053231966	0.5191657456569967	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	U	56	937	5.976520811099253	260	4884	5.323505323505324	1.1304717788242358	0.4310260119420073	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	V	6	937	0.6403415154749199	24	4884	0.4914004914004914	1.3049820784127466	0.6158494494315352	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	W	1	937	0.10672358591248667	4	4884	0.0819000819000819	1.3033528964711776	0.584331549566705	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	Y	4	937	0.42689434364994666	12	4884	0.2457002457002457	1.7404204414000983	0.30948449015808605	0.8827802407372928	FALSE	Not significant
Plate-wide confrontation response	H	26	937	2.774813233724653	126	4884	2.57985257985258	1.0777301176993073	0.737109889989903	0.8845318679878836	FALSE	Not significant
Plate-wide confrontation response	S	226	937	24.119530416221984	1159	4884	23.73054873054873	1.0215987195661351	0.8016557705125356	0.9161780234428978	FALSE	Not significant
Plate-wide confrontation response	N	0	937	0	4	4884	0.0819000819000819	0	0.9999999999999999	1	FALSE	Not significant
Plate-wide confrontation response	P	24	937	2.5613660618996796	129	4884	2.6412776412776413	0.9689500610887793	1	1	FALSE	Not significant
Plate-wide confrontation response	Q	38	937	4.055496264674493	203	4884	4.156429156429156	0.9746904276466228	1	1	FALSE	Not significant
Reaction-zone specific	I	43	1653	2.601330913490623	170	4168	4.0786948176583495	0.6281563952900143	0.006605050233289564	0.15852120559894955	FALSE	Not significant
Reaction-zone specific	F	13	1653	0.7864488808227466	63	4168	1.5115163147792707	0.516552158437283	0.029025498189310602	0.3483059782717272	FALSE	Not significant
Reaction-zone specific	G	108	1653	6.533575317604356	217	4168	5.206333973128599	1.2727295461036985	0.049715708323130936	0.3977256665850475	FALSE	Not significant
Reaction-zone specific	L	38	1653	2.2988505747126435	129	4168	3.095009596928983	0.7367704948040085	0.11668256095443325	0.466730243817733	FALSE	Not significant
Reaction-zone specific	Y	8	1653	0.4839685420447671	8	4168	0.19193857965451055	2.528420992920954	0.09012435593907192	0.466730243817733	FALSE	Not significant
Reaction-zone specific	Z	33	1653	1.9963702359346642	58	4168	1.3915547024952015	1.4433888302155893	0.10100018067127761	0.466730243817733	FALSE	Not significant
Reaction-zone specific	E	82	1653	4.9606775559588625	245	4168	5.878119001919385	0.8358110035596833	0.1849984179486083	0.48544886826142586	FALSE	Not significant
Reaction-zone specific	J	75	1653	4.537205081669692	155	4168	3.718809980806142	1.2304381178519417	0.15632265814599305	0.48544886826142586	FALSE	Not significant
Reaction-zone specific	O	90	1653	5.44464609800363	265	4168	6.357965451055662	0.8481106093327992	0.20227036177559413	0.48544886826142586	FALSE	Not significant
Reaction-zone specific	Q	59	1653	3.569267997580157	182	4168	4.366602687140115	0.8106839434402137	0.1889716281303308	0.48544886826142586	FALSE	Not significant
Reaction-zone specific	C	64	1653	3.8717483363581366	140	4168	3.3589251439539347	1.1587748781314409	0.34327531455102217	0.633739042248041	FALSE	Not significant
Reaction-zone specific	D	29	1653	1.7543859649122806	58	4168	1.3915547024952015	1.2653756250934403	0.3375712237528083	0.633739042248041	FALSE	Not significant
Reaction-zone specific	W	0	1653	0	5	4168	0.1199616122840691	0	0.33052545021070084	0.633739042248041	FALSE	Not significant
Reaction-zone specific	H	48	1653	2.9038112522686026	104	4168	2.495201535508637	1.1686011239648453	0.41193000956632864	0.7061657306851348	FALSE	Not significant
Reaction-zone specific	A	56	1653	3.38777979431337	127	4168	3.047024952015355	1.1157234265603448	0.5056620550142973	0.8090592880228757	FALSE	Not significant
Reaction-zone specific	B	27	1653	1.633393829401089	60	4168	1.4395393474088292	1.1368611428942843	0.6318170852751862	0.8938292484743615	FALSE	Not significant
Reaction-zone specific	K	67	1653	4.053236539624924	158	4168	3.7907869481765837	1.072142888605234	0.6511579296899508	0.8938292484743615	FALSE	Not significant
Reaction-zone specific	T	67	1653	4.053236539624924	160	4168	3.838771593090211	1.0582213975662724	0.7076148217088696	0.8938292484743615	FALSE	Not significant
Reaction-zone specific	V	7	1653	0.42347247428917123	23	4168	0.5518234165067178	0.7664652679289446	0.6856192969902344	0.8938292484743615	FALSE	Not significant
Reaction-zone specific	M	15	1653	0.9074410163339383	42	4168	1.0076775431861804	0.8996339443596953	0.8826862510734089	0.9902056330436133	FALSE	Not significant
Reaction-zone specific	P	44	1653	2.661826981246219	109	4168	2.6151631477927064	1.0183287677662878	0.9276900208531113	0.9902056330436133	FALSE	Not significant
Reaction-zone specific	S	391	1653	23.65396249243799	994	4168	23.848368522072935	0.9893241591140245	0.8914353923834867	0.9902056330436133	FALSE	Not significant
Reaction-zone specific	U	89	1653	5.384150030248034	227	4168	5.446257197696737	0.9879453696502448	0.9489470650001295	0.9902056330436133	FALSE	Not significant
Reaction-zone specific	N	1	1653	0.060496067755595885	3	4168	0.07197696737044146	0.8404252626429598	1	1	FALSE	Not significant
