gene_193	383	411	388	337	324	448	686	1176	1165
gene_194	3184	3038	3061	1838	1692	2691	4389	5186	6198
gene_195	229	207	193	221	205	346	280	295	722
gene_196	2954	2887	2832	1496	1302	2083	3745	4741	6228
gene_197	618	646	595	811	633	948	1522	2188	2252
gene_198	813	747	697	788	643	1436	1713	2000	2910
gene_199	3893	4034	3565	2013	1727	2877	6933	9345	11163
gene_200	341	288	254	246	199	409	766	752	924
gene_201	1014	971	835	956	735	1928	2710	2741	4195
gene_202	8470	7838	6985	10505	8661	19297	16916	18969	31032
gene_203	3289	3079	2838	2834	2357	4789	7490	9185	12018
gene_204	133	123	112	73	63	193	308	372	877
gene_205	272	249	306	295	239	470	795	888	980
gene_206	1441	1519	1421	1065	935	1356	2199	2840	3506
gene_207	5343	4903	4389	4378	3495	7068	9827	12262	17182
gene_208	626	811	718	522	433	569	809	1248	1091
gene_209	202	153	161	143	106	320	782	757	1048
gene_210	18	12	11	9	9	21	37	35	34
gene_211	1606	1512	1421	1099	869	1699	2694	3082	4202
gene_212	1480	1418	1360	1197	919	1980	3056	3393	4668
gene_213	716	756	822	1023	819	1173	1620	2146	2659
gene_214	1283	1320	1317	2301	2053	2634	2428	3770	3359
gene_215	373	352	342	412	360	620	816	1051	1082
gene_216	255	269	225	332	240	380	617	896	922
gene_217	281	282	236	320	244	512	607	673	776
gene_218	493	507	470	455	395	508	688	1165	1212
gene_219	1	0	1	0	0	0	0	9	0
gene_220	969	850	737	1096	808	1992	2684	2677	3849
gene_221	2473	2460	2252	2600	2026	4012	4895	5858	8567
gene_222	5188	5072	4577	3591	2935	6411	13424	13493	17437
gene_223	1310	1151	967	1024	739	1966	4465	4416	5191
gene_224	3770	3645	3228	3141	2615	5645	6773	7478	10128
gene_225	1273	1136	1147	1630	1206	2425	3601	4236	4743
gene_226	4282	4104	3941	5049	4389	7380	8836	11436	13318
gene_227	134	143	115	241	196	381	345	422	672
gene_228	1347	1282	1049	1390	1327	2138	2848	3753	4811
gene_229	11917	11194	9848	12410	10151	21835	20741	24708	38846
gene_230	228	217	233	234	205	296	435	631	719
gene_231	10051	9539	9112	6935	5501	10144	13318	16084	21113
gene_232	2909	2711	2777	2163	1843	2583	4623	6684	7325
gene_233	1422	1342	1338	1132	834	1830	2643	2781	3543
gene_234	12378	11074	9903	7213	5467	13028	14598	15443	22171
gene_235	1275	1119	1070	571	460	1063	2558	2764	3590
gene_236	403	420	416	142	120	207	415	589	715
gene_237	2652	2459	2295	2379	2076	4094	6493	7374	11012
gene_238	105	102	80	139	102	208	365	364	388
gene_239	1232	1279	1170	1490	1293	1713	1812	2826	3336
gene_240	1039	986	854	1437	1136	2653	2523	2682	3838
gene_241	1380	1391	1294	1617	1307	2425	2143	2692	3037
gene_242	992	931	1012	2619	2511	3175	834	1403	1291
gene_243	8784	8846	8686	15491	11951	20250	10776	14182	16670
gene_244	295	274	291	445	400	609	695	764	939
gene_245	588	545	591	488	375	696	1823	2235	2496
gene_246	6057	5677	5122	10554	8071	18087	20340	22032	30007
gene_247	154	158	155	155	124	237	390	557	597
gene_248	598	515	560	625	568	622	1186	2015	1789
gene_249	774	713	652	917	703	1546	1694	2026	2471
gene_250	3644	3610	3618	6549	5272	7976	8727	12274	13118
gene_251	314	315	328	219	187	414	552	755	987
gene_252	275	279	247	317	266	351	384	523	528
gene_253	2107	1935	1861	2764	2195	4011	4137	5339	6507
gene_254	7	1	5	8	3	0	14	7	17
gene_255	8	22	21	11	12	1	26	40	57
gene_256	109	124	136	56	69	65	131	256	210
gene_257	1137	1139	1210	1171	951	1263	1808	2735	2761
gene_258	10748	11719	12361	12626	10805	15342	22757	31708	31862
gene_259	464	383	395	729	542	1331	1785	1817	2348
gene_260	3099	3152	3130	2231	1832	2907	6789	9699	11370
gene_261	843	862	994	463	452	581	1242	1797	1914
gene_262	660	672	715	642	517	904	1481	1959	2140
gene_263	511	526	580	656	525	733	936	1489	1399
gene_264	42	41	37	102	57	116	121	145	164
gene_265	451	451	450	309	323	343	492	753	880
gene_266	312	315	284	531	356	1026	1144	1149	1540
gene_267	588	734	775	895	744	864	962	1613	1414
gene_268	1643	1789	1676	2772	2243	3923	2691	3483	4406
gene_269	62	77	88	107	95	101	101	234	288
gene_270	0	2	2	0	0	0	1	3	1
gene_271	114	110	117	85	58	185	331	308	430
gene_272	1746	1555	1382	869	746	1554	2832	3184	4342
gene_273	1051	989	887	938	799	1539	2800	3110	3699
gene_274	731	702	691	783	783	1248	1429	1855	2213
gene_275	41441	40976	36989	23916	19137	34245	49192	63445	83144
gene_276	313	298	344	376	304	493	650	909	968
gene_277	506	485	463	330	291	527	823	915	1132
gene_278	4683	5046	5197	2427	2274	2572	2516	4164	4084
gene_279	209	163	198	242	189	233	433	551	575
gene_280	205	258	263	340	324	380	484	771	625
gene_281	991	1006	1022	1280	1212	1650	1639	2193	2319
gene_282	146	138	120	168	170	347	369	389	508
gene_283	141	149	119	158	122	248	707	826	1156
gene_284	1421	1274	1170	931	748	1874	2955	3168	4722
gene_285	80	86	62	172	140	384	444	484	670
gene_286	605	579	509	570	478	1259	1612	1632	2668
gene_287	46	40	36	54	37	56	78	116	172
gene_288	245	294	301	49	48	58	153	174	180
gene_289	562	654	722	248	234	290	677	1139	1162
gene_290	1336	1357	1355	1502	1249	1940	2689	3659	4219
gene_291	932	929	1009	518	399	522	1171	1751	2006
gene_292	1507	1483	1462	929	757	1167	2077	2852	3671
gene_293	1341	1230	1208	1361	940	2367	3925	3905	4761
gene_294	367	334	360	218	188	298	606	674	1009
gene_295	581	649	580	410	404	436	728	1117	1349
gene_296	732	684	630	587	438	1343	2535	2436	3559
gene_297	250	253	275	369	332	506	787	1256	1435
gene_298	154	171	180	156	142	155	319	503	492
gene_299	505	502	472	505	422	769	1431	1570	2002
gene_300	632	672	643	560	430	649	840	1303	1615
gene_301	88	92	101	155	105	144	189	277	233
gene_302	208	189	172	389	384	546	415	494	529
gene_303	783	729	738	767	611	1030	1370	1873	2098
gene_304	3609	3453	3152	2384	1973	3731	6746	8932	9749
gene_305	1520	1426	1450	2572	2383	4100	5886	7525	9362
gene_306	2478	2647	2502	2628	2278	4031	5047	6492	8018
gene_307	562	573	629	472	438	519	583	832	946
gene_308	200	194	239	142	131	106	227	419	299
gene_309	554	579	546	628	519	890	1007	1379	1523
gene_310	556	495	513	540	368	694	1361	1604	1552
gene_311	545	558	625	267	227	346	901	1245	1202
gene_312	95	82	47	130	70	237	369	391	491
gene_313	493	478	493	427	338	651	697	864	1397
gene_314	712	645	598	597	489	1045	1659	1854	2358
gene_315	748	776	781	467	392	525	953	1657	1535
gene_316	382	443	398	461	399	475	734	1155	1226
gene_317	455	465	429	474	350	617	1062	1355	1543
gene_318	105	117	107	157	183	184	197	297	415
gene_319	364	342	362	335	259	423	952	1167	1399
gene_320	4157	4357	4565	3163	2828	3330	8593	14786	14608
