organism	contrast_id	contrast_label	story	gene_id	base_mean	log2_fold_change	padj	source_file	tested	significant	direction	abs_log2_fold_change	contrast_display
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9139_c0_g1	56.4288484415384	0.76926799478421	0.0060014379546311	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.76926799478421	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9140_c0_g1	432.306067273948	-0.342806781087684	0.00222422436439489	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Downregulated	0.342806781087684	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9142_c0_g1	4294.49579885209	0.345780352588679	4.34882300389474e-13	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.345780352588679	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9143_c0_g1	1254.6368033659	0.174432359727149	0.0373267081864755	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.174432359727149	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9150_c0_g1	187.39568924354	0.648246681869013	9.1506710964858e-4	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.648246681869013	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9161_c0_g1	3886.29298408549	0.167371939083392	0.00449363954023507	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.167371939083392	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9168_c0_g1	845.1607977266	-0.302380533565205	0.00485773172017493	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Downregulated	0.302380533565205	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN917_c0_g1	8921.57345241767	-0.240610843353126	1.84728355115399e-7	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Downregulated	0.240610843353126	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9171_c0_g1	266.079128053856	-0.452119976023573	0.00144849732995556	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Downregulated	0.452119976023573	Fusarium | Interaction vs control
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	TRINITY_DN9196_c0_g1	5412.97097926162	0.165901530290705	0.00118460516990532	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	TRUE	TRUE	Upregulated	0.165901530290705	Fusarium | Interaction vs control
